name,description,unit_weight,text_item,type,status,sub_rent,quantity
Packages - Speaker Packages,"",265.71,false,,,false,0.0
Nexo P12 System Package 3,"",0.0,false,Rental,Checked In,false,1.0
Nexo P12 Speaker,"",20.0,false,Rental,Checked In,false,2.0
Nexo L15 Subwoofer,"",35.0,false,Rental,Checked In,false,2.0
K&M Distance Rod M20 Thread,"",2.85,false,Rental,Checked In,false,2.0
"Soft case, for Nexo L15","",1.2,false,Rental,Checked In,false,2.0
Nexo DTD-TU DSP,"",1.3,false,Rental,Checked In,false,1.0
"IEC C13 Socket to 3pin UK Plug, 02m","",0.26,false,Rental,Checked In,false,1.0
"NL4, 2.5mm cable, 03m","",0.7,false,Rental,Checked In,false,2.0
Nexo DTD Amp 4x1.3,"",7.5,false,Rental,Checked In,false,1.0
"IEC C13 Socket to 3pin UK Plug, 02m","",0.26,false,Rental,Checked In,false,1.0
Nexo P10 System Package 1,"",0.0,false,Rental,Checked In,false,1.0
Nexo P10 Speaker,"",15.0,false,Rental,Checked In,false,2.0
Nexo DTD Rack: 4 x 1.3,"",0.0,false,Rental,Checked In,false,1.0
Nexo DTD-TU DSP,"",1.3,false,Rental,Checked In,false,1.0
"IEC C13 Socket to 3pin UK Plug, 02m","",0.26,false,Rental,Checked In,false,1.0
Nexo DTD Amp 4x1.3,"",7.5,false,Rental,Checked In,false,1.0
"NL4, 2.5mm cable, 05m","",1.01,false,Rental,Checked In,false,2.0
Nexo PS8 System Package 1,"",0.0,false,Rental,Checked In,false,3.0
Nexo PS8,"",7.5,false,Rental,Checked In,false,6.0
Flight Case (Nexo PS8 Holds 2),"",19.0,false,Rental,Checked In,false,2.0
Nexo DTD Rack: 4 x 1.3,"",0.0,false,Rental,Checked In,false,1.0
Nexo DTD Amp 4x1.3,"",7.5,false,Rental,Checked In,false,1.0
"IEC C13 Socket to 3pin UK Plug, 02m","",0.26,false,Rental,Checked In,false,1.0
"NL4, 2.5mm cable, 05m","",1.01,false,Rental,Checked In,false,5.0
Audio - Mixing Desks and Audio control,"",16.02,false,,,false,0.0
Allen & Heath SQ-5,"",10.5,false,Rental,Checked In,false,1.0
"IEC C13 Socket to 3pin UK Plug, 02m","",0.26,false,Rental,Checked In,false,1.0
Allen & Heath AR2412 stagebox,"",5.0,false,Rental,Checked In,false,1.0
"IEC C13 Socket to 3pin UK Plug, 02m","",0.26,false,Rental,Checked In,false,1.0
Audio - Speaker Stands and Accessories,"",93.97,false,,,false,0.0
Round Base Speaker Stand package,"",0.0,false,Rental,Checked In,false,6.0
Gravity Speaker Stand Base (15KG),"",8.5,false,Rental,Checked In,false,6.0
Gravity Speaker Stand Weight (5KG),"",5.0,false,Rental,Checked In,false,6.0
"Gravity adjustable speaker pole 35mm to M20, 1800mm","",2.15,false,Rental,Checked In,false,5.0
Soft case for Gravity Round Base,"",0.37,false,Rental,Checked In,false,6.0
Audio - Microphones,"",0.15,false,,,false,0.0
Audio Technica U857QL Gooseneck Microphone,"",0.15,false,Rental,Checked In,false,1.0
Audio - Microphones (Wireless),"",52.05,false,,,false,0.0
"Sennheiser G4 Wireless Rack ( 4xRecievers, Antennas)","",0.0,false,Rental,Checked In,false,1.0
Sennheiser EW100 G4-GB Receiver,"",0.9,false,Rental,Checked In,false,3.0
Sennheiser Antenna,"",0.02,false,Rental,Mixed,false,8.0
Sennheiser NT UK power supply,"",0.07,false,Rental,Checked In,false,3.0
"Flight case (5u, 2 door sleeve mount)","",31.0,false,Rental,Checked In,false,1.0
Tall heavy duty boom microphone stand,"",3.7,false,Rental,Checked In,false,2.0
Sennheiser A 2003 UHF Passive Wideband Directional Antenna,"",1.41,false,Rental,Booked Out,false,2.0
"50  Ohm Coaxial Cable, 05m","",0.2,false,Rental,Checked In,false,2.0
Sennheiser SKM 100-835 G4 wireless handheld microphone,"",0.45,false,Rental,Checked In,false,2.0
Sennheiser Microphone clip,"",0.99,false,Rental,Booked Out,false,2.0
AA battery,"",0.03,false,Sale,Checked In,false,4.0
Sennheiser G4 - transmitter and lapel,"",0.2,false,Rental,Checked In,false,2.0
Sennheiser ME 2 lapel mic,"",0.9,false,Rental,Booked Out,false,2.0
Sennheiser SK-100 G4 Bodypack Transmitter,"",0.16,false,Rental,Booked Out,false,2.0
AA battery,"",0.03,false,Sale,Checked In,false,4.0
Sennheiser ASA 1 active antenna splitter,"",0.7,false,Rental,Checked In,false,1.0
Sennheiser SKM 100-835 G4 wireless handheld microphone,"",0.45,false,Rental,Booked Out,false,1.0
AA battery,"",0.03,false,Sale,Checked In,false,2.0
Sennheiser SKM 100-835 G4 wireless handheld microphone,"",0.45,false,Rental,Booked Out,false,1.0
AA battery,"",0.03,false,Sale,Checked In,false,2.0
Packages - Audio Cable Packages,"",0.0,false,,,false,0.0
Signal cable pack,"",0.0,false,Rental,Checked In,false,1.0
Audio Cable - Adapters,"",1.22,false,,,false,0.0
Speakon Splitter Box - NL4 1 in 2 out -  NL4-SPLIT,"",0.4,false,Rental,Checked In,false,3.0
iPhone Lightning to 3.5mm Headphone Jack Adaptor,"",0.01,false,Rental,Mixed,false,2.0
"Computers, Tablets, and Tech","",3.56,false,,,false,0.0
Media Laptop,Dory must be installed,3.0,false,Rental,Checked In,false,1.0
Media Laptop power cable,"",0.09,false,Rental,Checked In,false,1.0
Ipad (2017 model year),"",0.47,false,Rental,Checked In,false,1.0
Audio Cable - Speaker,"",52.65,false,,,false,0.0
"NL4, 2.5mm cable, 03m","",0.7,false,Rental,Checked In,false,4.0
"NL4, 2.5mm cable, 10m","",2.01,false,Rental,Checked In,false,10.0
"NL4 , 2.5mm cable, 20m","",3.92,false,Rental,Mixed,false,6.0
"NL4, 4.0mm cable, 15m","",2.01,false,Rental,Checked In,false,1.0
"NL4 , 2.5mm cable, 20m","",3.92,false,Rental,Checked In,false,1.0
NL4 Coupler,"",0.02,false,Rental,Part Checked In,false,15.0
Flight Cases,"",27.17,false,,,false,0.0
Allen & Heath SQ-5 Flight Case,"",14.0,false,Rental,Checked In,false,1.0
SKB 1SKB-R3S - Roto Moulded Shallow Rack Case - 3U,"",4.17,false,Rental,Checked In,false,1.0
Flight Case (Sennheiser wireless mic single set),"",4.5,false,Rental,Checked In,false,2.0
Accessories,"",33.5,false,,,false,0.0
Flight Case (Nexo P10 Holds 2),"",33.5,false,Rental,Checked In,false,1.0
Data Cable,"",0.06,false,,,false,0.0
USB A to USB B mini cable,"",0.06,false,Rental,Checked In,false,1.0
Audio - Amplifiers,"",15.7,false,,,false,0.0
Nexo NXAMP4x1MK2 4-channel 1300w Power Amplifier,"",15.7,false,Rental,Checked In,false,1.0
Soft cases,"",0.81,false,,,false,0.0
Gravity Carry Bag for Distance Poles BG DBLS 331,"",0.81,false,Rental,Checked In,false,1.0
Lighting & Effects - Stands and Accessories,"",1.84,false,,,false,0.0
Gravity Adjustable lighting pole for square base,"",1.84,false,Rental,Checked In,false,1.0
Audio Cable - XLR,"",24.62,false,,,false,0.0
"XLR(m) to XLR(f) cable, 01m","",0.12,false,Rental,Mixed,false,10.0
"XLR(m) to XLR(f) cable, 02m","",0.21,false,Rental,Mixed,false,10.0
"XLR(m) to XLR(f) cable, 03m","",0.21,false,Rental,Mixed,false,10.0
"XLR(m) to XLR(f) cable, 05m","",0.31,false,Rental,Checked In,false,10.0
"XLR(m) to XLR(f) cable, 10m","",0.55,false,Rental,Checked In,false,10.0
"XLR(m) to XLR(f) cable, 15m","",0.65,false,Rental,Checked In,false,6.0
"XLR(m) to XLR(f) cable, 20m","",1.12,false,Rental,Checked In,false,6.0
Power Cable and Distribution - 13A,"",20.32,false,,,false,0.0
"13A 4-gang power extension, H07RN, 03m","",0.7,false,Rental,Checked In,false,5.0
"13A 4-gang power extension, H07RN, 05m","",1.01,false,Rental,Checked In,false,5.0
"13A 2-gang power extension, 03m","",0.6,false,Rental,Checked In,false,3.0
"13A 2-gang power extension, 10m","",1.62,false,Rental,Checked In,false,1.0
"13A 2-gang power extension, H07RN, 05m","",1.0,false,Rental,Checked In,false,4.0
"13A 4-gang power extension, H07RN, 10m","",1.72,false,Rental,Checked In,false,2.0
"13A 4-gang Power Extension, 00.5m","",0.21,false,Rental,Mixed,false,3.0
"13A 6-gang power extension, 00.5m","",0.28,false,Rental,Checked In,false,1.0
Coax Cable,"",0.2,false,,,false,0.0
"50  Ohm Coaxial Cable, 150mm","",0.2,false,Rental,Checked In,false,1.0
Audio Cable - Multicore,"",0.08,false,,,false,0.0
"XLR(m) to XLR(f), 4 way loom, 05m","",0.08,false,Rental,Checked In,false,1.0
Audio - Microphone Stands and Accessories,"",2.4,false,,,false,0.0
K&M Base for Gooseneck Microphone,"",2.4,false,Rental,Booked Out,false,1.0
Storage,"",2.9,false,,,false,0.0
Storage crate (40 litre black/red),"",2.9,false,Rental,Checked In,false,1.0
DMX Cable - 5pin,"",1.03,false,,,false,0.0
"DMX 5pin, 05m","",0.15,false,Rental,Checked In,false,1.0
"DMX 5pin, 10m","",0.44,false,Rental,Checked In,false,2.0
